name,team,points,cost,e3-harelbeke,gent-wevelgem,dwars-door-vlaanderen,ronde-van-vlaanderen,scheldeprijs,paris-roubaix,de-brabantse-pijl,amstel-gold-race,la-fleche-wallone,liege-bastogne-liege
Peter Sagan,BORA - hansgrohe,110,20,1,1,0,1,0,1,0,1,0,0
Greg Van Avermaet,BMC Racing Team,20,18,1,1,1,1,0,1,0,1,0,0
Alejandro Valverde,Movistar Team,0,18,0,0,0,0,0,0,0,0,0,0
Philippe Gilbert,Quick-Step Floors,0,16,1,0,1,1,0,1,0,0,0,0
Arnaud Démare,Groupama - FDJ,150,14,1,1,0,1,0,1,0,0,0,0
Michal Kwiatkowski,Team Sky,60,14,0,0,0,1,0,0,0,1,1,1
Alexander Kristoff,UAE-Team Emirates,130,14,1,1,1,1,0,1,0,0,0,0
Daniel Martin,UAE-Team Emirates,0,14,0,0,0,0,0,0,0,0,0,0
Vincenzo Nibali,Bahrain Merida Pro Cycling Team,230,12,0,0,0,0,0,0,0,0,0,1
Sep Vanmarcke,EF Education First-Drapac p/b Cannondale,0,12,1,1,1,1,0,1,0,1,0,0
Julian Alaphilippe,Quick-Step Floors,0,12,0,0,0,0,0,0,0,1,1,1
Zdenek Stybar,Quick-Step Floors,0,12,1,1,1,1,1,0,0,0,0,0
Niki Terpstra,Quick-Step Floors,0,12,1,1,1,1,0,1,0,0,0,0
Sergio Luis Henao,Team Sky,0,12,0,0,0,0,0,0,0,1,1,1
Wout Poels,Team Sky,0,12,0,0,0,0,0,0,0,0,1,0
Michael Matthews,Team Sunweb,100,12,1,1,0,0,0,0,0,1,1,1
John Degenkolb,Trek - Segafredo,0,12,1,1,1,1,0,0,0,0,0,0
Romain Bardet,AG2R La Mondiale,0,10,0,0,1,0,0,0,0,0,0,1
Oliver Naesen,AG2R La Mondiale,0,10,1,1,1,1,0,1,0,1,0,0
Sonny Colbrelli,Bahrain Merida Pro Cycling Team,110,10,1,1,0,1,0,0,0,0,0,0
Ion Izagirre,Bahrain Merida Pro Cycling Team,0,10,0,0,0,0,0,0,0,1,1,1
Tiesj Benoot,Lotto Soudal,0,10,1,0,1,1,0,0,0,1,1,1
André Greipel,Lotto Soudal,0,10,0,0,0,0,0,0,0,0,0,0
Tim Wellens,Lotto Soudal,0,10,0,0,0,0,0,0,0,0,1,1
Michael Albasini,Mitchelton-Scott,0,10,0,0,0,0,0,0,0,0,0,0
Matteo Trentin,Mitchelton-Scott,20,10,1,1,0,1,0,1,0,0,0,0
Adam Yates,Mitchelton-Scott,0,10,0,0,0,0,0,0,0,0,0,0
Yves Lampaert,Quick-Step Floors,0,10,1,1,1,1,0,1,0,0,0,0
Elia Viviani,Quick-Step Floors,10,10,0,0,0,0,1,0,0,0,0,0
Marcel Kittel,Team Katusha - Alpecin,0,10,0,1,0,0,1,1,0,0,0,0
Dylan Groenewegen,Team LottoNL-Jumbo,0,10,0,1,1,1,1,1,0,0,0,0
Gianni Moscon,Team Sky,0,10,1,1,1,1,0,1,0,0,1,1
Dylan Van Baarle,Team Sky,0,10,1,1,0,1,0,0,0,0,0,0
Jasper Stuyven,Trek - Segafredo,70,10,1,1,1,1,0,1,0,1,0,0
Rui Costa,UAE-Team Emirates,0,10,0,0,0,0,0,0,0,1,1,1
Diego Ulissi,UAE-Team Emirates,0,10,0,0,0,0,0,0,0,0,0,0
Wout Van Aert,Vérandas Willems-Crelan,0,10,0,0,1,1,0,1,0,0,0,0
Tony Gallopin,AG2R La Mondiale,0,8,1,1,1,1,0,0,0,0,0,0
Stijn Vandenbergh,AG2R La Mondiale,0,8,1,1,1,1,0,0,0,0,0,0
Alexis Vuillermoz,AG2R La Mondiale,0,8,0,0,0,0,0,0,0,1,1,1
